19.06.2023. 00:20:34|INFO |WebSocketMessageBrokerStats|WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 0, completed tasks = 6]
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.PasswordlessTokenRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.PrivilegeRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.ProjectManagerRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.ProjectRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.ProjectTaskRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.RefreshTokenRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.RegistrationTokenRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.RoleRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.SkillRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.UserRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:47:27|INFO |RepositoryConfigurationDelegate|Finished Spring Data repository scanning in 308 ms. Found 0 JDBC repository interfaces.
|19.06.2023. 01:47:28|INFO |RepositoryConfigurationDelegate|Multiple Spring Data modules found, entering strict repository configuration mode!
|19.06.2023. 01:47:28|INFO |RepositoryConfigurationDelegate|Bootstrapping Spring Data JPA repositories in DEFAULT mode.
|19.06.2023. 01:47:28|INFO |RepositoryConfigurationDelegate|Finished Spring Data repository scanning in 571 ms. Found 14 JPA repository interfaces.
|19.06.2023. 01:47:30|INFO |PostProcessorRegistrationDelegate$BeanPostProcessorChecker|Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@78d71df1' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
|19.06.2023. 01:47:30|INFO |PostProcessorRegistrationDelegate$BeanPostProcessorChecker|Bean 'methodSecurityConfig' of type [com.example.demo.security.MethodSecurityConfig$$EnhancerBySpringCGLIB$$188585ab] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
|19.06.2023. 01:47:31|INFO |PostProcessorRegistrationDelegate$BeanPostProcessorChecker|Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
|19.06.2023. 01:47:33|INFO |TomcatWebServer     |Tomcat initialized with port(s): 8000 (https)
|19.06.2023. 01:47:33|INFO |Http11NioProtocol   |Initializing ProtocolHandler ["https-jsse-nio-8000"]
|19.06.2023. 01:47:33|INFO |StandardService     |Starting service [Tomcat]
|19.06.2023. 01:47:33|INFO |StandardEngine      |Starting Servlet engine: [Apache Tomcat/9.0.45]
|19.06.2023. 01:47:34|INFO |[/]                 |Initializing Spring embedded WebApplicationContext
|19.06.2023. 01:47:34|INFO |ServletWebServerApplicationContext|Root WebApplicationContext: initialization completed in 13123 ms
|19.06.2023. 01:47:34|WARN |JpaBaseConfiguration$JpaWebConfiguration|spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
|19.06.2023. 01:47:35|INFO |LogHelper           |HHH000204: Processing PersistenceUnitInfo [name: default]
|19.06.2023. 01:47:36|INFO |Version             |HHH000412: Hibernate ORM core version 5.4.30.Final
|19.06.2023. 01:47:44|INFO |Version             |HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
|19.06.2023. 01:47:45|INFO |HikariDataSource    |HikariPool-1 - Starting...
|19.06.2023. 01:47:47|INFO |HikariDataSource    |HikariPool-1 - Start completed.
|19.06.2023. 01:47:48|INFO |Dialect             |HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
|19.06.2023. 01:47:50|WARN |AnnotationBinder    |HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: com.example.demo.model.EngineerProfile
|19.06.2023. 01:47:50|WARN |AnnotationBinder    |HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: com.example.demo.model.ProjectManagerProfile
|19.06.2023. 01:47:54|INFO |JtaPlatformInitiator|HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
|19.06.2023. 01:47:54|INFO |LocalContainerEntityManagerFactoryBean|Initialized JPA EntityManagerFactory for persistence unit 'default'
|19.06.2023. 01:47:55|INFO |ThreadPoolTaskExecutor|Initializing ExecutorService 'clientInboundChannelExecutor'
|19.06.2023. 01:47:55|INFO |ThreadPoolTaskExecutor|Initializing ExecutorService 'clientOutboundChannelExecutor'
|19.06.2023. 01:47:55|INFO |ThreadPoolTaskExecutor|Initializing ExecutorService 'brokerChannelExecutor'
|19.06.2023. 01:48:01|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/auth/login', POST] with []
|19.06.2023. 01:48:01|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/', GET] with []
|19.06.2023. 01:48:01|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/webjars/**', GET] with []
|19.06.2023. 01:48:01|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/*.html', GET] with []
|19.06.2023. 01:48:01|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='favicon.ico', GET] with []
|19.06.2023. 01:48:01|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/**/*.html', GET] with []
|19.06.2023. 01:48:01|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/auth/confirm-mail', GET] with []
|19.06.2023. 01:48:01|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/**/*.css', GET] with []
|19.06.2023. 01:48:01|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/**/*.js', GET] with []
|19.06.2023. 01:48:01|INFO |ThreadPoolTaskScheduler|Initializing ExecutorService 'messageBrokerTaskScheduler'
|19.06.2023. 01:48:02|INFO |DefaultSecurityFilterChain|Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3df2f4ab, org.springframework.security.web.context.SecurityContextPersistenceFilter@66df2165, org.springframework.security.web.header.HeaderWriterFilter@125447a0, org.springframework.web.filter.CorsFilter@4ed7fb78, org.springframework.security.web.authentication.logout.LogoutFilter@59ffb0af, com.example.demo.security.TokenAuthenticationFilter@6a450cb5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5523f107, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6ca6cc1c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@393b99d, org.springframework.security.web.session.SessionManagementFilter@b7e53b1, org.springframework.security.web.access.ExceptionTranslationFilter@1455d0f5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@69e346b3]
|19.06.2023. 01:48:03|INFO |Http11NioProtocol   |Starting ProtocolHandler ["https-jsse-nio-8000"]
|19.06.2023. 01:48:04|INFO |TomcatWebServer     |Tomcat started on port(s): 8000 (https) with context path ''
|19.06.2023. 01:48:04|INFO |SimpleBrokerMessageHandler|Starting...
|19.06.2023. 01:48:04|INFO |SimpleBrokerMessageHandler|BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@30f39d9d]]
|19.06.2023. 01:48:04|INFO |SimpleBrokerMessageHandler|Started.
|19.06.2023. 01:48:04|INFO |DemoApplication     |Started DemoApplication in 45.973 seconds (JVM running for 53.607)
|19.06.2023. 01:49:02|INFO |WebSocketMessageBrokerStats|WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
|19.06.2023. 01:49:31|INFO |SimpleBrokerMessageHandler|Stopping...
|19.06.2023. 01:49:31|INFO |SimpleBrokerMessageHandler|BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@30f39d9d]]
|19.06.2023. 01:49:31|INFO |SimpleBrokerMessageHandler|Stopped.
|19.06.2023. 01:49:34|INFO |ThreadPoolTaskScheduler|Shutting down ExecutorService 'messageBrokerTaskScheduler'
|19.06.2023. 01:49:34|INFO |ThreadPoolTaskExecutor|Shutting down ExecutorService 'brokerChannelExecutor'
|19.06.2023. 01:49:34|INFO |ThreadPoolTaskExecutor|Shutting down ExecutorService 'clientOutboundChannelExecutor'
|19.06.2023. 01:49:34|INFO |ThreadPoolTaskExecutor|Shutting down ExecutorService 'clientInboundChannelExecutor'
|19.06.2023. 01:49:34|INFO |LocalContainerEntityManagerFactoryBean|Closing JPA EntityManagerFactory for persistence unit 'default'
|19.06.2023. 01:49:34|INFO |HikariDataSource    |HikariPool-1 - Shutdown initiated...
|19.06.2023. 01:49:35|INFO |HikariDataSource    |HikariPool-1 - Shutdown completed.
|19.06.2023. 01:50:40|INFO |DemoApplication     |Starting DemoApplication using Java 19.0.1 on DESKTOP-F7BK8MP with PID 12740 (C:\Users\Cvetana\Downloads\https-demo-main\https-demo-main\target\classes started by Cvetana in C:\Users\Cvetana\Downloads\https-demo-main\https-demo-main)
|19.06.2023. 01:50:40|INFO |DemoApplication     |No active profile set, falling back to default profiles: default
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationDelegate|Multiple Spring Data modules found, entering strict repository configuration mode!
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationDelegate|Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.AddressRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.BlockedUserRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.CVDocumentRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.EngineerRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.PasswordlessTokenRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.PrivilegeRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.ProjectManagerRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.ProjectRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.ProjectTaskRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.RefreshTokenRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.RegistrationTokenRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.RoleRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.SkillRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationExtensionSupport|Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.repo.UserRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationDelegate|Finished Spring Data repository scanning in 352 ms. Found 0 JDBC repository interfaces.
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationDelegate|Multiple Spring Data modules found, entering strict repository configuration mode!
|19.06.2023. 01:50:45|INFO |RepositoryConfigurationDelegate|Bootstrapping Spring Data JPA repositories in DEFAULT mode.
|19.06.2023. 01:50:46|INFO |RepositoryConfigurationDelegate|Finished Spring Data repository scanning in 355 ms. Found 14 JPA repository interfaces.
|19.06.2023. 01:50:48|INFO |PostProcessorRegistrationDelegate$BeanPostProcessorChecker|Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@3e28fee1' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
|19.06.2023. 01:50:48|INFO |PostProcessorRegistrationDelegate$BeanPostProcessorChecker|Bean 'methodSecurityConfig' of type [com.example.demo.security.MethodSecurityConfig$$EnhancerBySpringCGLIB$$798654a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
|19.06.2023. 01:50:48|INFO |PostProcessorRegistrationDelegate$BeanPostProcessorChecker|Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
|19.06.2023. 01:50:50|INFO |TomcatWebServer     |Tomcat initialized with port(s): 8000 (https)
|19.06.2023. 01:50:50|INFO |Http11NioProtocol   |Initializing ProtocolHandler ["https-jsse-nio-8000"]
|19.06.2023. 01:50:50|INFO |StandardService     |Starting service [Tomcat]
|19.06.2023. 01:50:50|INFO |StandardEngine      |Starting Servlet engine: [Apache Tomcat/9.0.45]
|19.06.2023. 01:50:51|INFO |[/]                 |Initializing Spring embedded WebApplicationContext
|19.06.2023. 01:50:51|INFO |ServletWebServerApplicationContext|Root WebApplicationContext: initialization completed in 9984 ms
|19.06.2023. 01:50:51|WARN |JpaBaseConfiguration$JpaWebConfiguration|spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
|19.06.2023. 01:50:51|INFO |LogHelper           |HHH000204: Processing PersistenceUnitInfo [name: default]
|19.06.2023. 01:50:51|INFO |Version             |HHH000412: Hibernate ORM core version 5.4.30.Final
|19.06.2023. 01:50:54|INFO |Version             |HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
|19.06.2023. 01:50:54|INFO |HikariDataSource    |HikariPool-1 - Starting...
|19.06.2023. 01:50:57|INFO |HikariDataSource    |HikariPool-1 - Start completed.
|19.06.2023. 01:50:57|INFO |Dialect             |HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
|19.06.2023. 01:50:58|WARN |AnnotationBinder    |HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: com.example.demo.model.EngineerProfile
|19.06.2023. 01:50:58|WARN |AnnotationBinder    |HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: com.example.demo.model.ProjectManagerProfile
|19.06.2023. 01:51:02|INFO |JtaPlatformInitiator|HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
|19.06.2023. 01:51:02|INFO |LocalContainerEntityManagerFactoryBean|Initialized JPA EntityManagerFactory for persistence unit 'default'
|19.06.2023. 01:51:05|INFO |ThreadPoolTaskExecutor|Initializing ExecutorService 'clientInboundChannelExecutor'
|19.06.2023. 01:51:06|INFO |ThreadPoolTaskExecutor|Initializing ExecutorService 'clientOutboundChannelExecutor'
|19.06.2023. 01:51:06|INFO |ThreadPoolTaskExecutor|Initializing ExecutorService 'brokerChannelExecutor'
|19.06.2023. 01:51:25|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/auth/login', POST] with []
|19.06.2023. 01:51:25|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/', GET] with []
|19.06.2023. 01:51:25|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/webjars/**', GET] with []
|19.06.2023. 01:51:25|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/*.html', GET] with []
|19.06.2023. 01:51:25|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='favicon.ico', GET] with []
|19.06.2023. 01:51:25|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/**/*.html', GET] with []
|19.06.2023. 01:51:25|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/auth/confirm-mail', GET] with []
|19.06.2023. 01:51:25|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/**/*.css', GET] with []
|19.06.2023. 01:51:25|INFO |DefaultSecurityFilterChain|Will secure Ant [pattern='/**/*.js', GET] with []
|19.06.2023. 01:51:25|INFO |ThreadPoolTaskScheduler|Initializing ExecutorService 'messageBrokerTaskScheduler'
